(c) Gila's egoSrfFxd! + srfSum! against the 220-bit reference, shape c8 = (0.125, 0.125, 0.125), f = 1.0 + 0.0im
    ord = quadOrd(sep, 2 pi |f| max s); pairErr = worst of the 36 face pairs;
    amp = max_ab (sum of |srfMat_ref| over the pairs summed into ab)/|G_ref[ab]|;
    tMx = max_ab |G_gila - G_ref| / max|G_ref|; tEn = worst per entry.
    A row with no cached 36-pair reference falls back to the cached tensor
    (refquad.jl's graded volume rule): pairErr/fp/amp are then blank and only
    the assembled tMx/tEn columns are meaningful.  A row with neither prints
    "no cached reference"; build it with refPairs(D, s, f) of ref.jl.

dir   sep  ord  pairErr    fp   amp      ab  tMx       tEn       ab  max|G_ref|src
axis  2    9    9.27e-14   2    15.8     22  1.88e-13  3.24e-13  22  3.47e-02  pairs
axis  3    7    6.55e-15   5    14.6     22  4.00e-14  4.00e-14  22  1.43e-02  pairs
axis  4    7    6.59e-15   7    19.2     11  2.29e-14  2.29e-14  33  1.11e-02  pairs
axis  6    6    4.96e-15   10   29.8     11  8.88e-15  2.00e-14  11  7.60e-03  pairs
axis  8    5    4.62e-14   16   40.1     11  4.68e-14  7.85e-14  11  5.76e-03  pairs
axis  16   5    5.76e-14   23   81.2     11  7.19e-15  1.53e-14  11  2.90e-03  pairs
axis  32   5    6.82e-14   21   163.0    11  6.02e-15  7.55e-14  11  1.46e-03  pairs
axis  64   5    7.08e-14   22   326.0    11  1.36e-14  4.41e-14  11  7.28e-04  pairs
face  2    9    6.72e-15   13   20.4     11  3.54e-14  4.50e-14  22  1.51e-02  pairs
face  3    7    4.10e-15   8    23.2     11  1.60e-14  2.64e-14  12  1.05e-02  pairs
face  4    7    6.93e-15   30   24.4     11  1.77e-14  2.74e-14  11  8.04e-03  pairs
face  6    6    4.59e-15   9    25.4     11  6.83e-15  1.31e-14  11  5.43e-03  pairs
face  8    5    2.76e-14   30   25.8     11  1.24e-14  1.78e-14  22  4.09e-03  pairs
face  16   5    1.26e-14   29   26.2     11  9.39e-15  1.87e-14  22  2.06e-03  pairs
face  32   5    5.93e-15   29   26.2     11  1.10e-14  2.19e-14  11  1.03e-03  pairs
face  64   5    7.26e-15   30   26.3     11  5.44e-15  1.09e-14  22  5.15e-04  pairs
body  2    9    5.37e-15   31   19.8     11  2.55e-14  3.84e-14  23  8.97e-03  pairs
body  3    7    4.03e-15   4    19.8     11  2.09e-14  2.38e-14  21  5.98e-03  pairs
body  4    7    8.27e-15   16   19.8     11  5.63e-14  5.63e-14  33  4.49e-03  pairs
body  6    6    3.42e-15   27   19.8     11  1.84e-14  3.12e-14  32  2.99e-03  pairs
body  8    5    1.43e-14   2    19.8     11  1.45e-14  1.45e-14  33  2.24e-03  pairs
body  16   5    4.08e-15   14   19.8     11  1.12e-14  1.47e-14  12  1.12e-03  pairs
body  32   5    2.09e-15   27   19.8     11  5.63e-15  6.55e-15  32  5.61e-04  pairs
body  64   5    2.10e-15   6    19.8     11  1.21e-14  1.21e-14  11  2.80e-04  pairs
