(c) Gila's egoSrfFxd! + srfSum! against the 220-bit reference, shape c8 = (0.125, 0.125, 0.125), f = 1.0 + 0.1im
    ord = quadOrd(sep, 2 pi |f| max s); pairErr = worst of the 36 face pairs;
    amp = max_ab (sum of |srfMat_ref| over the pairs summed into ab)/|G_ref[ab]|;
    tMx = max_ab |G_gila - G_ref| / max|G_ref|; tEn = worst per entry.
    A row with no cached 36-pair reference falls back to the cached tensor
    (refquad.jl's graded volume rule): pairErr/fp/amp are then blank and only
    the assembled tMx/tEn columns are meaningful.  A row with neither prints
    "no cached reference"; build it with refPairs(D, s, f) of ref.jl.

dir   sep  ord  pairErr    fp   amp      ab  tMx       tEn       ab  max|G_ref|src
axis  2    9    9.72e-14   2    14.0     22  1.99e-13  3.18e-13  22  3.08e-02  pairs
axis  3    7    7.38e-15   6    13.7     22  2.02e-14  2.09e-14  11  1.20e-02  pairs
axis  4    7    4.46e-15   1    18.6     11  2.74e-14  2.74e-14  22  8.44e-03  pairs
axis  6    6    5.02e-15   5    29.0     11  2.29e-14  5.21e-14  11  4.86e-03  pairs
axis  8    5    5.29e-14   15   39.3     11  5.66e-14  8.76e-14  11  3.12e-03  pairs
axis  16   5    6.38e-14   22   80.1     11  7.97e-15  5.00e-14  11  8.34e-04  pairs
axis  32   5    7.39e-14   16   161.0    11  1.13e-14  1.42e-13  11  1.18e-04  pairs
axis  64   5    7.64e-14   17   324.0    11  1.09e-14  7.69e-14  11  4.79e-06  pairs
face  2    9    1.10e-14   13   20.7     11  2.44e-14  2.44e-14  33  1.29e-02  pairs
face  3    7    4.04e-15   24   23.5     11  1.89e-14  2.99e-14  21  7.83e-03  pairs
face  4    7    4.10e-15   30   24.7     11  1.31e-14  2.39e-14  22  5.29e-03  pairs
face  6    6    3.59e-15   10   25.5     11  6.84e-15  1.27e-14  21  2.84e-03  pairs
face  8    5    3.32e-14   30   25.8     11  1.16e-14  1.77e-14  11  1.70e-03  pairs
face  16   5    1.20e-14   30   26.0     11  9.85e-15  1.94e-14  12  3.50e-04  pairs
face  32   5    6.91e-15   30   26.1     11  5.69e-15  1.14e-14  22  2.96e-05  pairs
face  64   5    5.92e-15   29   26.1     11  8.90e-15  1.47e-14  11  4.22e-07  pairs
body  2    9    6.20e-15   19   19.6     11  6.45e-14  6.45e-14  11  6.84e-03  pairs
body  3    7    3.47e-15   35   19.6     11  1.25e-14  1.86e-14  13  3.98e-03  pairs
body  4    7    2.61e-15   30   19.6     11  1.06e-14  1.06e-14  11  2.60e-03  pairs
body  6    6    4.39e-15   7    19.6     11  3.40e-14  3.40e-14  11  1.32e-03  pairs
body  8    5    1.44e-14   2    19.6     11  7.74e-15  1.09e-14  32  7.56e-04  pairs
body  16   5    4.23e-15   19   19.6     11  3.55e-15  6.60e-15  12  1.27e-04  pairs
body  32   5    2.08e-15   6    19.6     11  7.23e-15  1.44e-14  21  7.22e-06  pairs
body  64   5    1.94e-15   26   19.6     11  7.89e-15  1.57e-14  23  4.64e-08  pairs
