(c) Gila's egoSrfFxd! + srfSum! against the 220-bit reference, shape c4 = (0.25, 0.25, 0.25), f = 1.0 + 0.1im
    ord = quadOrd(sep, 2 pi |f| max s); pairErr = worst of the 36 face pairs;
    amp = max_ab (sum of |srfMat_ref| over the pairs summed into ab)/|G_ref[ab]|;
    tMx = max_ab |G_gila - G_ref| / max|G_ref|; tEn = worst per entry.
    A row with no cached 36-pair reference falls back to the cached tensor
    (refquad.jl's graded volume rule): pairErr/fp/amp are then blank and only
    the assembled tMx/tEn columns are meaningful.  A row with neither prints
    "no cached reference"; build it with refPairs(D, s, f) of ref.jl.

dir   sep  ord  pairErr    fp   amp      ab  tMx       tEn       ab  max|G_ref|src
axis  2    9    1.14e-13   2    4.55     11  9.99e-14  9.99e-14  22  5.78e-02  pairs
axis  3    7    1.53e-14   6    7.13     11  9.56e-15  1.48e-14  11  3.34e-02  pairs
axis  4    7    6.46e-15   23   9.71     11  7.99e-15  2.45e-14  11  2.14e-02  pairs
axis  6    6    6.25e-14   23   14.8     11  8.50e-15  2.87e-14  11  1.04e-02  pairs
axis  8    6    7.66e-14   15   19.9     11  8.86e-15  5.55e-14  11  5.71e-03  pairs
axis  16   6    9.37e-14   22   40.3     11  5.76e-15  7.26e-14  11  8.11e-04  pairs
axis  32   6    1.00e-13   22   80.8     11  5.83e-15  1.47e-13  11  3.28e-05  pairs
axis  64   6    9.92e-14   16   162.0    11  3.75e-15  1.27e-13  11  1.07e-07  pairs
face  2    9    7.45e-15   14   6.4      11  9.10e-15  9.10e-15  33  3.62e-02  pairs
face  3    7    4.68e-15   16   6.64     11  4.28e-15  8.45e-15  11  1.94e-02  pairs
face  4    7    4.34e-15   4    6.71     11  4.08e-15  8.13e-15  22  1.17e-02  pairs
face  6    6    2.05e-14   29   6.77     11  6.56e-15  1.28e-14  21  4.99e-03  pairs
face  8    6    1.30e-14   30   6.78     11  4.84e-15  7.53e-15  22  2.40e-03  pairs
face  16   6    6.00e-15   29   6.79     11  3.46e-15  6.50e-15  12  2.03e-04  pairs
face  32   6    4.29e-15   23   6.79     11  3.32e-15  6.42e-15  22  2.89e-06  pairs
face  64   6    4.45e-15   19   6.78     11  4.62e-15  8.48e-15  22  1.18e-09  pairs
body  2    9    8.63e-15   31   5.15     11  1.74e-14  1.74e-14  11  1.78e-02  pairs
body  3    7    3.61e-15   30   5.16     11  5.82e-15  1.10e-14  13  9.06e-03  pairs
body  4    7    5.00e-15   9    5.16     11  7.80e-15  7.80e-15  33  5.18e-03  pairs
body  6    6    8.79e-15   2    5.16     11  2.86e-15  3.87e-15  13  2.00e-03  pairs
body  8    6    5.13e-15   6    5.16     11  2.27e-15  4.46e-15  32  8.73e-04  pairs
body  16   6    2.67e-15   13   5.17     11  4.32e-15  5.25e-15  21  4.95e-05  pairs
body  32   6    3.48e-15   7    5.17     11  4.88e-15  4.95e-15  21  3.19e-07  pairs
body  64   6    4.28e-15   21   5.17     11  3.42e-15  6.83e-15  31  2.64e-11  pairs
