(c) Gila's egoSrfFxd! + srfSum! against the 220-bit reference, shape c4 = (0.25, 0.25, 0.25), f = 1.0 + 0.0im
    ord = quadOrd(sep, 2 pi |f| max s); pairErr = worst of the 36 face pairs;
    amp = max_ab (sum of |srfMat_ref| over the pairs summed into ab)/|G_ref[ab]|;
    tMx = max_ab |G_gila - G_ref| / max|G_ref|; tEn = worst per entry.
    A row with no cached 36-pair reference falls back to the cached tensor
    (refquad.jl's graded volume rule): pairErr/fp/amp are then blank and only
    the assembled tMx/tEn columns are meaningful.  A row with neither prints
    "no cached reference"; build it with refPairs(D, s, f) of ref.jl.

dir   sep  ord  pairErr    fp   amp      ab  tMx       tEn       ab  max|G_ref|src
axis  2    9    9.46e-14   2    4.75     11  8.62e-14  8.62e-14  22  7.59e-02  pairs
axis  3    7    1.10e-14   6    7.37     11  1.03e-14  2.29e-14  11  5.20e-02  pairs
axis  4    7    5.98e-15   1    9.97     11  4.39e-15  7.05e-15  11  3.94e-02  pairs
axis  6    6    5.62e-14   28   15.1     11  1.27e-14  5.89e-14  11  2.64e-02  pairs
axis  8    6    6.60e-14   22   20.3     11  5.39e-15  3.36e-14  11  1.98e-02  pairs
axis  16   6    8.42e-14   22   40.7     11  9.15e-15  1.15e-13  11  9.94e-03  pairs
axis  32   6    9.21e-14   15   81.5     11  3.63e-15  9.12e-14  11  4.97e-03  pairs
axis  64   6    9.53e-14   15   163.0    11  5.58e-15  2.81e-13  11  2.49e-03  pairs
face  2    9    8.54e-15   30   6.34     11  1.68e-14  3.05e-14  11  5.50e-02  pairs
face  3    7    4.77e-15   30   6.61     11  4.51e-15  4.51e-15  33  3.72e-02  pairs
face  4    7    5.94e-15   10   6.71     11  3.68e-15  7.17e-15  12  2.80e-02  pairs
face  6    6    2.12e-14   29   6.78     11  4.86e-15  9.61e-15  12  1.87e-02  pairs
face  8    6    1.13e-14   29   6.81     11  4.81e-15  6.24e-15  12  1.41e-02  pairs
face  16   6    7.94e-15   29   6.83     11  6.91e-15  1.07e-14  11  7.05e-03  pairs
face  32   6    5.23e-15   14   6.84     11  4.22e-15  8.45e-15  12  3.52e-03  pairs
face  64   6    3.44e-15   9    6.84     11  1.61e-15  3.19e-15  12  1.76e-03  pairs
body  2    9    8.69e-15   16   5.2      11  1.43e-14  1.43e-14  11  3.07e-02  pairs
body  3    7    4.10e-15   26   5.21     11  8.49e-15  8.49e-15  11  2.05e-02  pairs
body  4    7    5.00e-15   13   5.21     11  7.88e-15  1.06e-14  21  1.54e-02  pairs
body  6    6    8.18e-15   2    5.21     11  7.19e-15  8.79e-15  21  1.02e-02  pairs
body  8    6    4.72e-15   31   5.21     11  7.03e-15  7.03e-15  11  7.68e-03  pairs
body  16   6    4.21e-15   19   5.21     11  8.02e-15  8.02e-15  11  3.84e-03  pairs
body  32   6    4.01e-15   4    5.21     11  4.16e-15  6.36e-15  23  1.92e-03  pairs
body  64   6    4.61e-15   19   5.21     11  2.40e-15  4.52e-15  32  9.60e-04  pairs
